Run on (160 X 4023 MHz CPU s)
2018-07-03 10:50:24
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","output_batch_size","output_channels","output_height","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:2/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",4998,140243,146749,ns,,1.37387e+11,,,,1,1,0,0.149056,0,7,7,2,3,224,301056,224,0,2,64,112,112,3,3,3.36599e+12,4.72056e+08,3.36599e+12,4.72056e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",687,1.01826e+06,1.02548e+06,ns,,9.46101e+09,,,,0,1,0,1.02678,0,5,5,2,192,28,301056,28,0,2,32,28,28,2,2,4.73051e+11,4.8169e+08,4.73051e+11,4.8169e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",9538,73370.7,79875.4,ns,,2.62606e+11,,,,1,1,0,0.08208,0,1,1,2,192,28,301056,28,0,2,64,28,28,0,0,5.25212e+11,3.85352e+07,5.25212e+11,3.85352e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",263,2.66524e+06,2.67193e+06,ns,,3.61461e+09,,,,0,1,0,2.67328,0,5,5,2,512,14,200704,14,0,2,48,14,14,2,2,1.8073e+11,4.8169e+08,1.8073e+11,4.8169e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",4549,151006,157515,ns,,2.5519e+11,,,,1,1,0,0.159616,0,1,1,2,512,14,200704,14,0,2,192,14,14,0,0,5.1038e+11,7.70703e+07,5.1038e+11,7.70703e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",3155,221802,228308,ns,,9.41076e+10,,,,0,1,0,0.230624,0,1,1,2,832,7,81536,7,0,2,256,7,7,0,0,1.88215e+11,4.17464e+07,1.88215e+11,4.17464e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",150,4.65786e+06,4.66469e+06,ns,,2.24064e+09,,,,0,1,0,4.66909,0,5,5,2,832,7,81536,7,0,2,128,7,7,2,2,1.12032e+11,5.2183e+08,1.12032e+11,5.2183e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4586,152609,159120,ns,,8.41696e+10,,,,1,1,0,0.164256,0,3,3,1,64,56,200704,56,0,1,64,56,56,1,1,1.51505e+12,2.31211e+08,1.51505e+12,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",13491,51845.5,58281.7,ns,,9.91025e+11,,,,1,1,0,0.059936,0,1,1,1,64,56,200704,56,0,1,256,28,28,0,0,4.95513e+11,2.56901e+07,4.95513e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2456,285028,291530,ns,,4.50659e+10,,,,0,1,0,0.293568,0,3,3,1,128,28,100352,28,0,1,128,28,28,1,1,8.11186e+11,2.31211e+08,8.11186e+11,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",10543,66358.7,72830.7,ns,,7.74281e+11,,,,1,1,0,0.075488,0,1,1,1,128,28,100352,28,0,1,512,14,14,0,0,3.8714e+11,2.56901e+07,3.8714e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",7408,94493.8,101132,ns,,1.35935e+11,,,,1,1,0,0.104512,0,1,1,1,256,14,50176,14,0,1,256,14,14,0,0,2.71871e+11,2.56901e+07,2.71871e+11,2.56901e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1331,525655,532148,ns,,2.44363e+10,,,,0,1,0,0.535776,0,3,3,1,256,14,50176,14,0,1,256,14,14,1,1,4.39853e+11,2.31211e+08,4.39853e+11,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",7980,87664.7,94155.7,ns,,5.86099e+11,,,,1,1,0,0.09584,0,1,1,1,256,14,50176,14,0,1,1024,7,7,0,0,2.9305e+11,2.56901e+07,2.9305e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",4864,143949,150403,ns,,8.92332e+10,,,,0,1,0,0.152352,0,1,1,1,512,7,25088,7,0,1,512,7,7,0,0,1.78466e+11,2.56901e+07,1.78466e+11,2.56901e+07,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:2048/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",1453,481742,488234,ns,,1.06655e+11,,,,0,1,0,0.490528,0,1,1,1,2048,7,100352,7,0,1,512,7,7,3,3,2.1331e+11,1.0276e+08,2.1331e+11,1.0276e+08,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:2/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4664,150076,156548,ns,,1.71181e+11,,,,1,1,0,0.158592,0,3,3,2,64,56,401408,56,0,2,64,56,56,1,1,3.08125e+12,4.62422e+08,3.08125e+12,4.62422e+08,1,1,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",13572,51544.4,58065.7,ns,,1.99363e+12,,,,1,1,0,0.06,0,1,1,2,64,56,401408,56,0,2,256,28,28,0,0,9.96814e+11,5.13802e+07,9.96814e+11,5.13802e+07,2,2,0,0
"LAYER_CUDNN_CONV_FORWARD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2497,280323,286789,ns,,9.16446e+10,,,,0,1,0,0.28848,0,3,3,2,128,28,200704,28,0,2,128,28,28,1,1,1.6496e+12,4.62422e+08,1.6496e+12,4.62422e+08,1,1,0,0
