Run on (40 X 3600 MHz CPU s)
2018-07-24 13:54:03
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width"
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:64/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",81292,8554.97,14704.7,ns,,1.20118e+13,,,,1,1,2,64,56,401408,56,256,2,256,28,401408,28,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:128/N:2/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",81900,8457.74,14595.1,ns,,3.03747e+12,,,,3,3,2,128,28,200704,28,128,2,128,28,200704,28,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:128/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",94232,7353.89,13513.6,ns,,1.39736e+13,,,,1,1,2,128,28,200704,28,512,2,512,14,200704,14,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",98081,7103.36,13535.1,ns,,3.61661e+12,,,,1,1,2,256,14,100352,14,256,2,256,14,100352,14,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:2/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",97863,7082.2,13576.2,ns,,3.62742e+12,,,,3,3,2,256,14,100352,14,256,2,256,14,100352,14,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:2/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",87216,8006.33,14523.9,ns,,1.28349e+13,,,,1,1,2,256,14,100352,14,1024,2,1024,7,100352,7,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:512/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",97965,7123.04,13571.3,ns,,3.60662e+12,,,,1,1,2,512,7,50176,7,512,2,512,7,50176,7,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:2048/N:2/K:512/filter_w(s):1/filter_h(r):1/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",97660,7123.57,13604.8,ns,,1.44254e+13,,,,1,1,2,2048,7,200704,7,512,2,512,7,50176,7,3,3,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:700/H:161/C:1/N:1/K:64/filter_w(s):5/filter_h(r):5/pad_w:1/pad_h:1/wstride:2/hstride:2/manual_time",15413,45345.2,51917.6,ns,,1.59064e+11,,,,5,5,1,1,161,112700,700,64,1,64,80,1.78688e+06,349,1,1,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:350/H:80/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",15519,45106.9,51607,ns,,2.54258e+12,,,,3,3,1,64,80,1.792e+06,350,64,1,64,80,1.792e+06,350,1,1,1,1
