Run on (40 X 3600 MHz CPU s)
2018-07-24 20:25:09
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"input_batch_size","input_channels","input_height","input_size","input_width","output_batch_size","output_channels","output_height","output_size","output_width","predicted_flops","predicted_flops_count","softmax_algorithm","softmax_mode"
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:224/H:224/C:3/N:2/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",413,1.69619e+06,7868.64,ns,,9.46613e+08,,,,2,64,112,1.60563e+06,112,2,64,112,1.60563e+06,112,9.46613e+08,1.60563e+06,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",14231,49178.8,7502.21,ns,,1.02028e+09,,,,2,32,28,50176,28,2,32,28,50176,28,1.02028e+09,50176,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",6982,100232,7431.52,ns,,1.00119e+09,,,,2,64,28,100352,28,2,64,28,100352,28,1.00119e+09,100352,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",30613,22849.7,7414.05,ns,,8.23469e+08,,,,2,48,14,18816,14,2,48,14,18816,14,8.23469e+08,18816,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",9562,73255.8,7537.63,ns,,1.02741e+09,,,,2,192,14,75264,14,2,192,14,75264,14,1.02741e+09,75264,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",24857,28139.4,7504.38,ns,,8.9156e+08,,,,2,256,7,25088,7,2,256,7,25088,7,8.9156e+08,25088,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",39147,17888.4,7487.05,ns,,7.01235e+08,,,,2,128,7,12544,7,2,128,7,12544,7,7.01235e+08,12544,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1885,371361,7594.42,ns,,5.40455e+08,,,,1,64,56,200704,56,1,64,56,200704,56,5.40455e+08,200704,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",1885,371373,7624.67,ns,,5.40437e+08,,,,1,256,28,200704,28,1,256,28,200704,28,5.40437e+08,200704,0,0
"LAYER_CUDNN_SOFTMAX_FWD_HALF<CUDNN_SOFTMAX_FAST, CUDNN_SOFTMAX_MODE_INSTANCE>/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3707,188834,7486.64,ns,,5.3143e+08,,,,1,128,28,100352,28,1,128,28,100352,28,5.3143e+08,100352,0,0
