Run on (40 X 3600 MHz CPU s)
2018-07-13 06:22:05
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","predicted_advised_flops","predicted_advised_flops_count","predicted_flops","predicted_flops_count","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:1/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",223,3.14512e+06,3.15171e+06,ns,,1.65917e+09,,,,0,1,0,3.15392,0,5,5,1,832,7,40768,7,0,128,1,128,7,6272,7,2,2,8.29587e+10,2.60915e+08,8.29587e+10,2.60915e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:224/H:224/C:3/N:2/K:64/filter_w(s):7/filter_h(r):7/pad_w:3/pad_h:3/wstride:2/hstride:2/manual_time",8492,83183.1,89897.7,ns,,2.31628e+11,,,,1,1,0,0.086016,0,7,7,2,3,224,301056,224,0,64,2,64,112,1.60563e+06,112,3,3,5.6749e+12,4.72056e+08,5.6749e+12,4.72056e+08,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",930,752455,759253,ns,,1.28032e+10,,,,0,1,0,0.756736,0,5,5,2,192,28,301056,28,0,32,2,32,28,50176,28,2,2,6.40158e+11,4.8169e+08,6.40158e+11,4.8169e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",14033,49899,56551.1,ns,,3.86132e+11,,,,1,1,0,0.052224,0,1,1,2,192,28,301056,28,0,64,2,64,28,100352,28,0,0,7.72263e+11,3.85352e+07,7.72263e+11,3.85352e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",354,1.97828e+06,1.98516e+06,ns,,4.86979e+09,,,,0,1,0,2.00806,0,5,5,2,512,14,200704,14,0,48,2,48,14,18816,14,2,2,2.4349e+11,4.8169e+08,2.4349e+11,4.8169e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",6792,103001,109748,ns,,3.74125e+11,,,,1,1,0,0.10752,0,1,1,2,512,14,200704,14,0,192,2,192,14,75264,14,0,0,7.4825e+11,7.70703e+07,7.4825e+11,7.70703e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",4533,154443,160727,ns,,1.35151e+11,,,,0,1,0,0.173056,0,1,1,2,832,7,81536,7,0,256,2,256,7,25088,7,0,0,2.70302e+11,4.17464e+07,2.70302e+11,4.17464e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",222,3.16593e+06,3.17478e+06,ns,,3.29654e+09,,,,0,1,0,3.18157,0,5,5,2,832,7,81536,7,0,128,2,128,7,12544,7,2,2,1.64827e+11,5.2183e+08,1.64827e+11,5.2183e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",6583,106274,112513,ns,,1.20868e+11,,,,1,1,0,0.111616,0,3,3,1,64,56,200704,56,0,64,1,64,56,200704,56,1,1,2.17562e+12,2.31211e+08,2.17562e+12,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",21046,33215.7,39496.2,ns,,1.54687e+12,,,,1,1,0,0.036864,0,1,1,1,64,56,200704,56,0,256,1,256,28,200704,28,0,0,7.73434e+11,2.56901e+07,7.73434e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",3497,200169,206425,ns,,6.41711e+10,,,,0,1,0,0.203776,0,3,3,1,128,28,100352,28,0,128,1,128,28,100352,28,1,1,1.15508e+12,2.31211e+08,1.15508e+12,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",16056,43610.3,49865.7,ns,,1.17817e+12,,,,1,1,0,0.047168,0,1,1,1,128,28,100352,28,0,512,1,512,14,100352,14,0,0,5.89084e+11,2.56901e+07,5.89084e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",10878,64298.3,70547.7,ns,,1.99773e+11,,,,1,1,0,0.068608,0,1,1,1,256,14,50176,14,0,256,1,256,14,50176,14,0,0,3.99546e+11,2.56901e+07,3.99546e+11,2.56901e+07,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1838,381166,387919,ns,,3.36994e+10,,,,0,1,0,0.382976,0,3,3,1,256,14,50176,14,0,256,1,256,14,50176,14,1,1,6.06588e+11,2.31211e+08,6.06588e+11,2.31211e+08,1,1,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",11714,59737.1,66370.9,ns,,8.60106e+11,,,,1,1,0,0.062432,0,1,1,1,256,14,50176,14,0,1024,1,1024,7,50176,7,0,0,4.30053e+11,2.56901e+07,4.30053e+11,2.56901e+07,2,2,0,0
"LAYER_CUDNN_CONV_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM>/W:7/H:7/C:512/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",6988,100217,106910,ns,,1.28173e+11,,,,1,1,0,0.103424,0,1,1,1,512,7,25088,7,0,512,1,512,7,25088,7,0,0,2.56346e+11,2.56901e+07,2.56346e+11,2.56901e+07,1,1,0,0
