Run on (160 X 4023 MHz CPU s)
2018-08-08 15:33:31
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width"
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",58858,11896.4,18671.4,ns,,1.61961e+12,,,,1,1,2,192,28,301056,28,64,2,64,28,100352,28,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",70249,9935.93,16920.7,ns,,9.69591e+11,,,,5,5,2,512,14,200704,14,48,2,48,14,18816,14,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",68736,10186.3,17011.7,ns,,3.78302e+12,,,,1,1,2,512,14,200704,14,192,2,192,14,75264,14,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",70099,9980.01,16949.6,ns,,2.0915e+12,,,,1,1,2,832,7,81536,7,256,2,256,7,25088,7,0,0,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",72611,9647.15,16411.9,ns,,1.08183e+12,,,,5,5,2,832,7,81536,7,128,2,128,7,12544,7,2,2,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",49808,14045.7,20804.8,ns,,9.14517e+11,,,,3,3,1,64,56,200704,56,64,1,64,56,200704,56,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",64366,10923.6,17826.6,ns,,4.70361e+12,,,,1,1,1,64,56,200704,56,256,1,256,28,200704,28,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",66363,10542.1,17474.6,ns,,1.21845e+12,,,,3,3,1,128,28,100352,28,128,1,128,28,100352,28,1,1,1,1
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",62215,11225.9,18011.1,ns,,4.57693e+12,,,,1,1,1,128,28,100352,28,512,1,512,14,100352,14,0,0,2,2
"LAYER_CUDNN_CONV_BWD_BIAS_HALF/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",70383,9962.65,16949.2,ns,,1.28932e+12,,,,1,1,1,256,14,50176,14,256,1,256,14,50176,14,0,0,1,1
