Run on (160 X 4023 MHz CPU s)
2018-08-08 15:04:02
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"activation_mode","advised_convolution_algorithm","advised_determinism","advised_memory","advised_time","convolution_algorithm","filter_height","filter_width","input_batch_size","input_channels","input_height","input_size","input_width","math_type","num_filters","output_batch_size","output_channels","output_height","output_size","output_width","pad_height","pad_width","stride_height","stride_width","workspace_bytes","workspace_megabytes"
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:28/H:28/C:192/N:2/K:32/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",668,1.04812e+06,1.05521e+06,ns,,9.19148e+09,,,,1,0,1,0,1.04246,0,5,5,2,192,28,301056,28,0,32,2,32,28,50176,28,2,2,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:28/H:28/C:192/N:2/K:64/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",8435,82991.2,90016.7,ns,,2.32164e+11,,,,1,1,1,0,0.075936,0,1,1,2,192,28,301056,28,0,64,2,64,28,100352,28,0,0,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:14/H:14/C:512/N:2/K:48/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",256,2.73071e+06,2.73786e+06,ns,,3.52795e+09,,,,1,0,1,0,2.72736,0,5,5,2,512,14,200704,14,0,48,2,48,14,18816,14,2,2,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:14/H:14/C:512/N:2/K:192/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",4306,162564,169609,ns,,2.37046e+11,,,,1,1,1,0,0.15408,0,1,1,2,512,14,200704,14,0,192,2,192,14,75264,14,0,0,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:7/H:7/C:832/N:2/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",3004,232957,239986,ns,,8.96013e+10,,,,1,0,1,0,0.227232,0,1,1,2,832,7,81536,7,0,256,2,256,7,25088,7,0,0,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:7/H:7/C:832/N:2/K:128/filter_w(s):5/filter_h(r):5/pad_w:2/pad_h:2/wstride:1/hstride:1/manual_time",147,4.756e+06,4.76321e+06,ns,,2.19441e+09,,,,1,0,1,0,4.74573,0,5,5,2,832,7,81536,7,0,128,2,128,7,12544,7,2,2,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:56/H:56/C:64/N:1/K:64/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",4309,162373,169416,ns,,7.91084e+10,,,,1,1,1,0,0.157568,0,3,3,1,64,56,200704,56,0,64,1,64,56,200704,56,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:56/H:56/C:64/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",11715,59697.1,66731.4,ns,,8.60682e+11,,,,1,1,1,0,0.053056,0,1,1,1,64,56,200704,56,0,256,1,256,28,200704,28,0,0,2,2,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:28/H:28/C:128/N:1/K:128/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",2342,301046,305934,ns,,4.26681e+10,,,,1,0,1,0,0.292064,0,3,3,1,128,28,100352,28,0,128,1,128,28,100352,28,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:28/H:28/C:128/N:1/K:512/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",9235,75782.4,82813.5,ns,,6.77997e+11,,,,1,1,1,0,0.069088,0,1,1,1,128,28,100352,28,0,512,1,512,14,100352,14,0,0,2,2,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:14/H:14/C:256/N:1/K:256/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:1/hstride:1/manual_time",6683,104707,111737,ns,,1.22677e+11,,,,1,1,1,0,0.096768,0,1,1,1,256,14,50176,14,0,256,1,256,14,50176,14,0,0,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:14/H:14/C:256/N:1/K:256/filter_w(s):3/filter_h(r):3/pad_w:1/pad_h:1/wstride:1/hstride:1/manual_time",1285,544390,551447,ns,,2.35953e+10,,,,1,0,1,0,0.538304,0,3,3,1,256,14,50176,14,0,256,1,256,14,50176,14,1,1,1,1,0,0
"LAYER_CUDNN_CONV_BIAS_ACTIVATION_FWD_HALF<CUDNN_CONVOLUTION_FWD_ALGO_IMPLICIT_GEMM, CUDNN_ACTIVATION_RELU>/W:14/H:14/C:256/N:1/K:1024/filter_w(s):1/filter_h(r):1/pad_w:0/pad_h:0/wstride:2/hstride:2/manual_time",7639,91528.3,98535,ns,,5.61359e+11,,,,1,1,1,0,0.09072,0,1,1,1,256,14,50176,14,0,1024,1,1024,7,50176,7,0,0,2,2,0,0
